Station_Id_C,Lon,Lat,Alti,Station_levl,Province,City,Cnty,Country,ProvinceCode,CityCode,CntyCode
895653,85.64,45.93,0.0,14,新疆维吾尔自治区,克拉玛依市,乌尔禾区,中国,650000,650200,650205
895654,84.8,45.36,0.0,14,新疆维吾尔自治区,克拉玛依市,克拉玛依区,中国,650000,650200,650203
895655,84.31,45.91,0.0,14,新疆维吾尔自治区,塔城地区,托里县,中国,650000,654200,654224
895657,86.86,45.43,0.0,14,新疆维吾尔自治区,塔城地区,和布克赛尔蒙古自治县,中国,650000,654200,654226
895658,89.0,44.92,0.0,14,新疆维吾尔自治区,昌吉回族自治州,吉木萨尔县,中国,650000,652300,652327
895668,85.43,45.51,0.0,14,新疆维吾尔自治区,克拉玛依市,白碱滩区,中国,650000,650200,650204
895669,84.92,44.24,0.0,14,新疆维吾尔自治区,克拉玛依市,独山子区,中国,650000,650200,650202
895671,85.92,45.47,0.0,14,新疆维吾尔自治区,塔城地区,和布克赛尔蒙古自治县,中国,650000,654200,654226
895673,86.88,45.85,0.0,14,新疆维吾尔自治区,塔城地区,和布克赛尔蒙古自治县,中国,650000,654200,654226
895674,85.42,45.92,0.0,14,新疆维吾尔自治区,克拉玛依市,乌尔禾区,中国,650000,650200,650205
895675,87.61,45.24,0.0,14,新疆维吾尔自治区,阿勒泰地区,福海县,中国,650000,654300,654323
895676,85.11,45.72,0.0,14,新疆维吾尔自治区,克拉玛依市,白碱滩区,中国,650000,650200,650204
895677,86.34,45.1,0.0,14,新疆维吾尔自治区,昌吉回族自治州,玛纳斯县,中国,650000,652300,652324
895678,85.03,45.6,0.0,14,新疆维吾尔自治区,克拉玛依市,白碱滩区,中国,650000,650200,650204
895683,84.69,45.13,0.0,14,新疆维吾尔自治区,克拉玛依市,克拉玛依区,中国,650000,650200,650203
895684,85.28,45.82,0.0,14,新疆维吾尔自治区,克拉玛依市,乌尔禾区,中国,650000,650200,650205
